MODEL_NAME,FEATURES,VOXEL_SIZE,LOSS_FUNCTION,TERMINATION_CRITERIA,THRESHOLD_METHOD,VALID_DATASET,PRECISION,RECALL,F1_SCORE,TP,FP,TN,FN
230309154809,"[0, 1, 2, 4, 5, 6]",0.1,BCELoss,loss,pr,False,0.9394382450111943,0.9795345572566573,0.9583228383620495,10166.558241758241,659.4043956043956,13969.598901098901,204.43846153846152
230310174515,"[0, 1, 2, 4, 5, 6]",0.1,BCELoss,loss,pr,False,0.9425152073421319,0.9839823748567051,0.9622459580092426,10212.938461538462,622.8351648351648,14006.168131868131,158.05824175824176
230310174535,"[0, 1, 2, 4, 5, 6]",0.05,BCELoss,loss,pr,False,0.9171215662518531,0.9897055611057437,0.9507728323854371,10268.95054945055,952.3461538461538,13676.657142857142,102.04615384615384
230310174638,"[0, 1, 2, 4, 5, 6]",0.01,BCELoss,loss,pr,False,0.8288328419401556,0.7151549746132414,0.7514970798617865,7574.427472527473,1851.643956043956,12777.35934065934,2796.5692307692307
230310174515,"[0, 1, 2, 4, 5, 6]",0.1,BCELoss,loss,pr,False,0.9425152073421319,0.9839823748567051,0.9622459580092426,10212.938461538462,622.8351648351648,14006.168131868131,158.05824175824176
230310174535,"[0, 1, 2, 4, 5, 6]",0.05,BCELoss,loss,pr,False,0.9171216247537262,0.9897055611057437,0.9507728669660332,10268.95054945055,952.3450549450549,13676.658241758241,102.04615384615384
230310174638,"[0, 1, 2, 4, 5, 6]",0.01,BCELoss,loss,pr,False,0.8288328419401556,0.7151549746132414,0.7514970798617865,7574.427472527473,1851.643956043956,12777.35934065934,2796.5692307692307
230310174515,"[0, 1, 2, 4, 5, 6]",0.1,BCELoss,loss,pr,False,0.0,0.0,0.0,0.0,1482.0,13348.0,10170.0
230310174515,"[0, 1, 2, 4, 5, 6]",0.1,BCELoss,loss,pr,False,0.0,0.0,0.0,0.0,1482.0,13348.0,10170.0
230310174515,"[0, 1, 2, 4, 5, 6]",0.1,BCELoss,loss,pr,False,0.30392640253358716,0.5,0.37005488115323815,7288.75,6198.25,6962.25,4550.75
230310174515,"[0, 1, 2, 4, 5, 6]",0.1,BCELoss,loss,pr,False,0.3661999209130048,0.7487529027264126,0.4839240007673157,8811.5,10034.0,3864.625,2289.875
230310174515,"[0, 1, 2, 4, 5, 6]",0.1,BCELoss,loss,pr,False,0.3661999209130048,0.7487529027264126,0.4839240007673157,8811.5,10034.0,3864.625,2289.875
230310174515,"[0, 1, 2, 4, 5, 6]",0.1,BCELoss,loss,pr,False,0.3661999209130048,0.7487529027264126,0.4839240007673157,8811.5,10034.0,3864.625,2289.875
230310174515,"[0, 1, 2, 4, 5, 6]",0.1,BCELoss,loss,pr,False,0.9525603273381721,0.9849042179246019,0.9681136454081913,10948.5,616.5,13282.125,152.875
